EfficientNet-B0 SLAM (RGB+Depth) Execution Log
Frame 770, Loss: 0.0007, Frame Time: 0.1776s, Running Time: 126.18s, Avg Frame Time: 0.2018s
Frame 780, Loss: 0.0017, Frame Time: 0.1791s, Running Time: 128.36s, Avg Frame Time: 0.1887s
Frame 790, Loss: 0.0016, Frame Time: 0.2036s, Running Time: 130.78s, Avg Frame Time: 0.2115s

Final Stats:
Total runtime: 132.51 seconds
Frames processed: 798
Average frame processing time: 0.1446 seconds
Average forward pass time: 0.0486 seconds
Average backward pass time: 0.0953 seconds
Average optimizer time: 0.0006 seconds
Average data loading time: 0.0210 seconds
